OCC_YEAR,division,total_amount,amount_recovered,recovery_rate
2018,Central,275,202,73.4545
2019,Central,294,210,71.4286
2020,Central,237,156,65.8228
2021,Central,324,205,63.2716
2019,West,291,183,62.8866
2018,West,246,154,62.6016
2022,Central,440,273,62.0455
2019,East,364,220,60.4396
2023,Central,364,217,59.6154
2023,West,751,433,57.6565
2018,East,366,211,57.6503
2020,West,250,144,57.6000
2020,East,364,205,56.3187
2023,East,875,459,52.4571
2021,West,350,182,52.0000
2022,East,856,431,50.3505
2022,West,737,371,50.3392
2021,East,440,220,50.0000
