veh_make,total_amount,amount_recovered,recovery_rate,veh_val
"MACK TRUCKS, INC.",1,1,100.0000,150000
"KOMATSU AMERICAN CORP./ KOMATSU FORKLIFT (USA), IN",1,1,100.0000,150000
"CAMP EQUIPMENT CO., INC.",1,1,100.0000,130000
"LANDCRAFT CORP.",1,1,100.0000,55000
PORSCHE,6,1,16.6667,36666.666666666664
"JEEP (1989 AND AFTER)",541,267,49.3530,28232.462107208874
"LAND ROVER",79,34,43.0380,22573.772151898735
"JOHN DEERE/ DEERE AND COMPANY",20,5,25.0000,21150
HUMMER,1,1,100.0000,20000
FORD,554,394,71.1191,18012.593862815884
"KAWASAKI MOTORS CORP. / SNOJET",8,2,25.0000,17750
VOLVO,23,21,91.3043,17239.130434782608
"TOYOTA/ TOYOTA MOTOR CO., LTD.",1705,847,49.6774,16343.607038123168
"CATERPILLAR INC",11,6,54.5455,15454.545454545454
"STOUGHTON TRAILERS, INC.",1,1,100.0000,15000
"CASE / J.I. CASE/ CONSTRUCTION KING /CASE-GENERAL ",17,7,41.1765,14705.882352941177
"INTERATIONAL INDUSTRIES, INC.",4,4,100.0000,14250
"KUBOTA TRACTOR CORP.",38,10,26.3158,14131.578947368422
LEXUS,483,194,40.1656,13174.451345755693
"GENERAL MOTORS CORP.",163,108,66.2577,12309.815950920245
DODGE,438,273,62.3288,10885.239726027397
MERCEDES-BENZ,113,56,49.5575,10187.32743362832
"TORO CO.",4,1,25.0000,9500
JAGUAR,12,9,75.0000,8908.333333333334
"FREIGHTLINER CORP.",9,9,100.0000,8888.888888888889
"RAM TRUCKS",105,45,42.8571,8476.190476190477
CADILLAC,36,21,58.3333,8450
LINCOLN-CONTINENTAL,19,16,84.2105,6559.210526315789
"HONDA/AMERICAN HONDA MOTOR CO.,",815,479,58.7730,6173.641717791411
AUDI,86,61,70.9302,5785.96511627907
ACURA,104,52,50.0000,5728.846153846154
"BOMBARDIER LTD. / SKI DOO",3,1,33.3333,5666.666666666667
,582,179,30.7560,5651.644329896907
CHEVROLET,346,257,74.2775,5559.063583815029
HINO,10,5,50.0000,5500
"BOBCAT SKID STEER LOADER (FOR REFERENCE ONLY, SEE ",17,9,52.9412,4970.588235294118
"INTERNATIONAL HARVESTER CO./ CUB CADET/ CUSTOM SCO",5,3,60.0000,4800
BMW,139,76,54.6763,4422.53237410072
SUBARU,75,59,78.6667,4126.666666666667
VOLKSWAGEN,107,83,77.5701,3395.3271028037384
HYUNDAI,362,301,83.1492,3131.9060773480664
"KIA MOTORS CORPORATION",121,94,77.6860,2925.619834710744
MITSUBISHI,53,40,75.4717,2811.3207547169814
MAZDA,150,125,83.3333,2719.6666666666665
INFINITI,39,24,61.5385,2564.4358974358975
NISSAN,221,167,75.5656,2422.6244343891403
MINI,8,6,75.0000,2375
"U-HAUL CO.",3,2,66.6667,2000
PONTIAC,41,34,82.9268,1539.0243902439024
FIAT,3,3,100.0000,1333.3333333333333
"ALY ALLIANCE/ HOMETTE HOMES (OR CORP.)",2,1,50.0000,1250
"YAMAHA MOTOR COMPANY, LTD.",11,6,54.5455,1090.909090909091
"CHRYSLER/ CHRYSLER OUTBOARD CORPORATION",47,32,68.0851,672.3404255319149
BUICK,14,13,92.8571,535.7142857142857
"SUZUKI/ COLT (MFD. BY SUZUKI MOTOR CORP.)",10,8,80.0000,400
SATURN,3,2,66.6667,0
"SATURN CORPORATION",1,1,100.0000,0
"INTERNATIONAL COACH MFG.",1,1,100.0000,0
"MERCURY/ MERCURY MARINE",1,1,100.0000,0
"MANAC INC.",1,1,100.0000,0
"TOYOCAR VAN CONTAINER TRAILER",4,3,75.0000,0
SMART,1,1,100.0000,0
ISUZU,3,2,66.6667,0
PLYMOUTH,2,2,100.0000,0
TESLA,2,1,50.0000,0
"JAWA/CZ (CZECHOSLOVAKIA-SEE CZ) / BABETTA (MFD. BY",1,1,100.0000,0
"DODD MFG. CO., INC.",1,1,100.0000,0
OLDSMOBILE,1,1,100.0000,0
"HOMEMADE TRAILER CODE (SEE OPERATING MANUAL, PART ",3,1,33.3333,0
"PETERBILT MOTORS CO.",1,1,100.0000,0
