FID,SectorID,Division,SectorID2,SectorID3,Urban_Rura,SHAPE__Area,SHAPE__Length
1,11,1,Sector 11,Secteur 11,Rural 1,1552244459.58984,175470.947715652
2,12,1,Sector 12,Secteur 12,Rural 2,1419448118.125,166595.698149346
3,36,3,Sector 36,Secteur 36,Rural 3,772724783.195313,130495.263434506
4,37,3,Sector 37,Secteur 37,Rural 4,813138442.441406,188274.196262103
5,13,1,Sector 13,Secteur 13,Urban 1,203782056.425781,94502.7589758835
6,15,1,Sector 15,Secteur 15,Urban 2,126335729.152344,52339.5397562602
7,14,1,Sector 14,Secteur 14,Urban 3,112995676.957031,56124.8484869962
8,16,1,Sector 16,Secteur 16,Urban 4,98227890.8164063,58116.4610215404
9,17,1,Sector 17,Secteur 17,Urban 5,55220722.2617188,40528.4079604405
10,21,2,Sector 21,Secteur 21,Urban 6,39892821.0390625,34973.3920123015
11,35,3,Sector 35,Secteur 35,Urban 7,153033925.894531,65998.641061527
12,34,3,Sector 34,Secteur 34,Urban 8,29858345.8632813,24220.2375073594
13,22,2,Sector 22,Secteur 22,Urban 9,21627478.3164063,31863.9103928309
14,23,2,Sector 23,Secteur 23,Urban 10,7288369.53125,11440.7193400815
15,24,2,Sector 24,Secteur 24,Urban 11,10128469.1875,14658.2028885526
16,25,2,Sector 25,Secteur 25,Urban 12,27512882.703125,24687.3605736035
17,33,3,Sector 33,Secteur 33,Urban 13,92680484.59375,55873.3505788737
18,32,3,Sector 32,Secteur 32,Urban 14,51809110.4414063,33663.8879056107
19,31,3,Sector 31,Secteur 31,Urban 15,270766831.855469,98631.4463073834
